keyword,tags,lists,clusters,language,country,source,session_id,status_id,volume,kd,cpc,competition_index,competition,intent,bid_low,bid_high,serp_results,avg_backlinks,avg_referring_domains,top_ten_avg_rank,first_seen_at,fetched_at,data_fetched_at,mom_change_pct,trend_30d_pct,trend_90d_pct,trend_6m_pct,trend_12m_pct,chances_score
musik für standesamtliche trauung,,KimMarieBorger,,de,de,research,,,140,0,0.67,0.17,LOW,informational,0.2,1.15,161000,14.4,4,61.2,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,'-50,0,'-95,30
musik trauerfeier,,KimMarieBorger,,de,de,research,,,260,11,0.9,0.02,LOW,informational,0.01,1.19,150,9.8,3.8,92.1,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,22,22,0,50,22,30
musik zur hochzeit,,KimMarieBorger,,de,de,research,,,140,0,2.21,0.15,LOW,informational,0.29,1.7,138,267.9,4.3,49.9,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,24,24,'-19,'-19,0,30
instrumentalmusik beerdigung,,KimMarieBorger,,de,de,research,,,110,0,0.02,0.01,LOW,informational,,,127,2.2,0.8,47.6,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,0,'-50,0,29
klassische musik beerdigung,,KimMarieBorger,,de,de,research,,,140,2,1.47,0.01,LOW,informational,,,306000,5.4,1.2,66.1,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-25,'-25,'-40,'-40,'-67,29
klassische musik trauerfeier,,KimMarieBorger,,de,de,research,,,110,0,,0.01,LOW,informational,,,53200,1.2,0.5,45.1,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,50,50,'-40,29
musik abschied,,KimMarieBorger,,de,de,research,,,110,0,,0.01,LOW,informational,,,124,6.1,1.4,60.5,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,0,'-78,'-82,29
musik standesamt hochzeit,,KimMarieBorger,,de,de,research,,,110,0,0.92,0.15,LOW,informational,0.22,1.17,1170000,262.7,2.1,38,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,'-33,27,'-33,29
geigenunterricht für erwachsene,,KimMarieBorger,,de,de,research,,,90,0,1.31,0.29,LOW,informational,0.46,2.17,1820000,251.5,23.9,53.6,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,0,'-75,'-80,27
geigenunterricht köln,,KimMarieBorger,,de,de,research,,,90,0,2.39,0.4,MEDIUM,informational,0.74,2.77,11000,,,,2026-06-13T12:44:36.752Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-43,'-43,'-43,'-71,'-56,27
musik messe,,KimMarieBorger,,de,de,research,,,90,2,,0,LOW,informational,,,31600000,850.6,7,68.8,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,55,55,'-35,0,'-19,27
violine unterricht,,KimMarieBorger,,de,de,research,,,90,0,1.21,0.39,MEDIUM,informational,0.53,2.31,4610000,144,5.4,54.5,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-20,'-20,'-20,'-43,'-20,27
amazing grace beerdigung,,KimMarieBorger,,de,de,research,,,70,0,,0,LOW,informational,,,56800,1.6666666666666667,0.6666666666666666,53.166666666666664,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-25,'-25,50,50,'-40,26
ave maria beerdigung,,KimMarieBorger,,de,de,research,,,70,0,,0,LOW,informational,,,54100,0.6,0.5,5.3,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,33,0,33,26
geigenunterricht düsseldorf,,KimMarieBorger,,de,de,research,,,70,0,2.29,0.73,HIGH,commercial,0.85,2.82,105,3.4,2.6,20.8,2026-06-13T12:44:36.752Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-25,'-25,'-57,0,'-57,26
klassische musik hochzeit,,KimMarieBorger,,de,de,research,,,70,0,1.18,0.14,LOW,informational,0.32,1.12,543000,8.8,1.2,33.1,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,0,0,'-56,26
musik für hochzeitsfeier,,KimMarieBorger,,de,de,research,,,70,0,1.79,0.49,MEDIUM,informational,0.63,1.83,1700000,268.9,5.3,69.1,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-18,'-18,'-18,0,'-47,26
moderne hochzeitsmusik,,KimMarieBorger,,de,de,research,,,50,0,1.38,0.22,LOW,informational,0.59,1.62,24500000,8.5,2.6,42.3,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-50,'-50,'-80,'-75,'-80,24
moderne trauermusik,,KimMarieBorger,,de,de,research,,,50,0,,0.03,LOW,informational,,,97,2.6,1.3,15.9,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-20,'-20,'-20,'-20,'-20,24
musik bestattung,,KimMarieBorger,,de,de,research,,,50,0,,0.03,LOW,informational,,,5120000,2.3,1.7,37.9,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-43,'-43,'-20,'-20,'-43,24
musik für bestattung,,KimMarieBorger,,de,de,research,,,50,0,,0.03,LOW,informational,,,,5,1.9,36.5,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-75,'-75,'-80,'-67,'-80,24
musik für geburtstag,,KimMarieBorger,,de,de,research,,,50,0,1.39,0.35,MEDIUM,informational,0.47,1.52,66600000,85.5,1.5,23.6,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,55,55,'-35,'-19,21,24
violinunterricht köln,,KimMarieBorger,,de,de,research,,,50,0,1.11,0.1,LOW,commercial,0.77,2.04,853000,0.2,0.2,9.9,2026-06-13T12:44:36.752Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,80,80,29,29,80,24
violinunterricht in der nähe,,KimMarieBorger,,de,de,research,,,90,16,1.39,0.5,MEDIUM,informational,0.49,1.63,69,95.7,4.3,81.8,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,,,,,,23
geige hochzeit,,KimMarieBorger,,de,de,research,,,40,0,1.9,0.4,MEDIUM,informational,0.54,2.02,749000,0.2,0.2,5.3,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,33,33,33,0,100,22
geigenlehrerin,,KimMarieBorger,,de,de,research,,,40,0,,0.04,LOW,informational,,,39400,101.7,5.2,56.3,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-18,'-18,'-33,0,27,22
geigenunterricht essen,,KimMarieBorger,,de,de,research,,,40,0,1.37,0.22,LOW,informational,0.61,1.67,1650000,5.5,4.2,44.8,2026-06-13T12:44:37.420Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,'-18,29,29,22
hintergrundmusik hochzeit,,KimMarieBorger,,de,de,research,,,40,0,2.02,0.25,LOW,informational,0.52,1.45,245000,2.4,1.7,22.9,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,29,29,125,29,'-36,22
musik freie trauung,,KimMarieBorger,,de,de,research,,,40,0,1.1,0.26,LOW,informational,0.26,1.86,3350000,6.5,5.5,27.8,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,50,50,'-25,'-57,'-40,22
musik für freie trauung,,KimMarieBorger,,de,de,research,,,40,0,1.1,0.26,LOW,informational,0.26,1.86,3300000,6.5,5.5,27.8,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-89,'-89,'-80,'-91,'-91,22
musik für kirchliche trauung,,KimMarieBorger,,de,de,research,,,40,0,1.09,0.31,LOW,informational,0.52,1.54,1910000,5.2,1.7,24.2,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,40,40,250,40,0,22
musik für taufe,,KimMarieBorger,,de,de,research,,,40,0,0.53,0.06,LOW,informational,,,9440000,3.6,2.1,20.5,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,'-50,'-86,'-80,22
musik kirchliche trauung,,KimMarieBorger,,de,de,research,,,40,0,2.61,0.22,LOW,informational,0.56,2.13,1960000,5.2,1.7,24.2,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-33,'-33,'-50,'-50,'-71,22
geigenunterricht aachen,,KimMarieBorger,,de,de,research,,,40,6,0.86,0.48,MEDIUM,informational,0.25,1.48,6060,0.6,0.2,10,2026-06-13T12:44:38.217Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-44,'-44,0,67,25,21
geigenunterricht dortmund,,KimMarieBorger,,de,de,research,,,40,9,1.25,0.22,LOW,commercial,0.33,1.53,96,0.1,0.1,10.5,2026-06-13T12:44:37.420Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,'-50,'-60,'-50,20
musik taufe,,KimMarieBorger,,de,de,research,,,20,0,,0,LOW,informational,,,6550000,1.6,1.3,21.7,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,33,33,33,'-20,'-20,18
violine lernen erwachsene,,KimMarieBorger,,de,de,research,,,30,20,1.67,0.63,MEDIUM,informational,0.25,1.77,336000,6.6,2.6,61.6,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,0,0,'-50,17
geigenunterricht in köln,,KimMarieBorger,,de,de,research,,,10,0,2.79,0.09,LOW,commercial,,,,,,,2026-06-13T12:44:36.752Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,0,0,0,14
musik geburtstagsfeier,,KimMarieBorger,,de,de,research,,,10,6,,0.71,HIGH,informational,,,,2.1,1.4,39.1,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,67,67,0,67,'-64,13
bratsche lernen,,KimMarieBorger,,de,de,research,,,40,47,1.28,0.25,LOW,informational,,,1070000,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,67,67,150,0,0,12
geige für hochzeit,,KimMarieBorger,,de,de,research,,,20,45,0.69,0.78,HIGH,transactional,0.23,0.9,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-50,'-50,0,'-67,'-50,10
bratschenkonzert,,KimMarieBorger,,de,de,research,,,20,50,,0.01,LOW,informational,,,24800,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-50,'-50,'-60,'-33,'-33,9
geigenunterricht wuppertal,,KimMarieBorger,,de,de,research,,,20,48,1.14,0.44,MEDIUM,commercial,0.55,2.34,90,,,,2026-06-13T12:44:37.420Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-33,'-33,'-33,100,'-33,9
instrumentalmusik hochzeit,,KimMarieBorger,,de,de,research,,,20,52,0.38,0.11,LOW,informational,,,140000,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,'-50,'-50,'-86,'-86,'-75,9
live musik beerdigung,,KimMarieBorger,,nl,de,research,,,10,43,3.22,0.06,LOW,informational,,,6820000,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,0,0,'-75,8
violinunterricht ratingen,,KimMarieBorger,,,de,research,,,10,,,,,,,,,,,,2026-06-13T12:44:36.752Z,2026-06-13T17:01:30.719Z,2026-06-13T17:01:30.719Z,,,,'-100,,
violinunterricht für erwachsene,,KimMarieBorger,,de,de,research,,,10,,,0.57,MEDIUM,informational,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,,,,,,
violinunterricht düsseldorf,,KimMarieBorger,,,de,research,,,10,,3.18,69,HIGH,,1.59,3.93,,,,,2026-06-13T12:44:36.752Z,2026-06-13T17:01:29.664Z,2026-06-13T17:01:29.664Z,0,0,0,0,0,
violinistin hochzeit,,KimMarieBorger,,de,de,research,,,20,,1.5,0.63,MEDIUM,informational,0.42,1.45,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,,,,,,
violine unterricht köln,,KimMarieBorger,,,de,research,,,10,,,,,,,,,,,,2026-06-13T12:44:36.752Z,2026-06-13T17:01:30.719Z,2026-06-13T17:01:30.719Z,,,0,,,
violine hochzeit,,KimMarieBorger,,de,de,research,,,30,,1.51,0.4,MEDIUM,informational,0.52,1.74,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,100,100,100,100,100,
violakonzert,,KimMarieBorger,,,de,research,,,10,,,3,LOW,,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:02:56.660Z,2026-06-13T17:02:56.660Z,0,0,0,0,0,
viola unterricht,,KimMarieBorger,,,de,research,,,10,,0.86,25,LOW,,0.58,1.71,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:02:56.660Z,2026-06-13T17:02:56.660Z,0,0,0,0,0,
viola lernen,,KimMarieBorger,,de,de,research,,,10,,,0,LOW,informational,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,'-50,0,'-50,
viola konzert,,KimMarieBorger,,,de,research,,,90,,0.15,4,LOW,,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:02:56.660Z,2026-06-13T17:02:56.660Z,'-29,'-29,'-55,'-44,25,
viola geburtstag,,KimMarieBorger,,,de,research,,,30,,,0,LOW,,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:02:56.660Z,2026-06-13T17:02:56.660Z,0,0,0,200,'-25,
viola event,,KimMarieBorger,,,de,research,,,10,,,0,LOW,,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:02:56.660Z,2026-06-13T17:02:56.660Z,,,,,'-100,
taufmusik,,KimMarieBorger,,de,de,research,,,20,,,0,LOW,informational,,,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:00:43.203Z,2026-06-13T17:00:43.203Z,0,0,0,'-50,0,
ständchen geburtstag,,KimMarieBorger,,,de,research,,,170,,0.98,5,LOW,,0.26,1.07,,,,,2026-06-13T12:44:23.577Z,2026-06-13T17:02:56.660Z,2026-06-13T17:02:56.660Z,24,24,50,91,0,
